Name,Type,Lat,Long,Pop,City,State,Country,ZIP,URL,URL_muni,Stimulus,Gig,PPP,Open Access,Cooperative Type,10 Gig
Auburn Essential Services,fiber,41.363,-85.058,"13,000",Auburn,IN,US,46706,http://www.auburnessentialservices.net/,http://www.muninetworks.org/tags-160,,,,,,
Bellevue,fiber,42.25891,-90.42654,2302,Bellevue,IA,US,52031,http://www.bellevueia.com/,,,,,,,
Benton PUD Broadband,fiber,46.206,-119.769,"5,000",Prosser,WA,US,99350,http://www.bentonpud.org,https://muninetworks.org/tags/tags/benton-pud,,Y,,Y,,
Benton PUD Broadband,fiber,46.208,-119.117,"68,000",Kennewick,WA,US,99336,http://www.bentonpud.org,https://muninetworks.org/tags/tags/benton-pud,,Y,,Y,,
Bristol TN Essential Services,fiber,36.56779,-82.19736,25021,Bristol,TN,US,37617,http://www.btes.net/,http://www.muninetworks.org/tags-339,,Y,,,,
CC Communications,fiber,39.60242,-118.34093,24355,Churchill,NV,US,89406,http://www.cccomm.net,http://www.muninetworks.org/tags-91,,Y,,,,
Cedar Falls Utilities,fiber,42.52057,-92.4528,39387,Cedar Falls,IA,US,50613,http://www.cfu.net/,http://www.muninetworks.org/tags-87,,Y,,,,
Chelan PUD,fiber,47.489,-120.421,50,Monitor,WA,US,98836,http://www.chelanpud.org/,http://www.muninetworks.org/tags-91,,Y,,Y,,
Chelan PUD,fiber,47.569,-120.603,50,Peshastin,WA,US,98847,http://www.chelanpud.org/,http://www.muninetworks.org/tags-91,,Y,,Y,,
Chelan PUD,fiber,47.414,-120.305,"30,000",Wenatchee,WA,US,98801,http://www.chelanpud.org/,http://www.muninetworks.org/tags-91,,Y,,Y,,
Chelan PUD,fiber,47.522,-120.47,"3,000",Cashmere,WA,US,98815,http://www.chelanpud.org/,http://www.muninetworks.org/tags-91,,Y,,Y,,
Chelan PUD,fiber,47.877,-120.641,"73,000",Chelan County,WA,US,98816,http://www.chelanpud.org/,http://www.muninetworks.org/tags-91,,Y,,Y,,
Chelan PUD,fiber,47.541,-120.56,50,Dryden,WA,US,98821,http://www.chelanpud.org/,http://www.muninetworks.org/tags-91,,Y,,Y,,
Chelan PUD,fiber,47.597,-120.67,"2,300",Leavenworth,WA,US,98826,http://www.chelanpud.org/,http://www.muninetworks.org/tags-91,,Y,,Y,,
City of Williamstown,fiber,38.49673,-84.564128,181,Corinth,KY,US,41010,http://www.wkybb.net/,https://muninetworks.org/tags/williamstown-ky,Y,,,,,
Clarksville CDE Lightband,fiber,36.56113,-87.3473,124565,Clarksville,TN,US,37040,http://www.clarksvillede.com/,http://www.muninetworks.org/tags-147,,Y,,,,
Concord Light Broadband,fiber,42.4604,-71.349,"18,000",Concord,MA,US,01742,http://www.concordnet.org/467/Broadband-Internet-Service,,,,,,,
Connect Waverly,fiber,42.727,-92.467,"10,000",Waverly,IA,US,50677,http://connectwaverly.com,http://muninetworks.org/tags/tags/waverly,,Y,,,,
DiamondNet,fiber,35.4607,-94.80672,8812,Sallisaw,OK,US,74955,http://www.diamondnetok.com/,http://www.muninetworks.org/tags-118,,,,,,
ECFibernet (East Central Vermont Community Fiber Network),fiber,43.486,-72.488,"1,100",West Windsor,VT,US,05089,http://www.ecfiber.net,http://www.muninetworks.org/tags-39,,,,,,
ECFibernet (East Central Vermont Community Fiber Network),fiber,43.727,-72.613,"1,000",Barnard,VT,US,05031,http://www.ecfiber.net,http://www.muninetworks.org/tags-39,,,,,,
ECFibernet (East Central Vermont Community Fiber Network),fiber,43.698,-72.520,"1,000",Pomfret,VT,US,05053,http://www.ecfiber.net/member-towns/pomfret,http://www.muninetworks.org/tags-39,,,,,,
ECFibernet (East Central Vermont Community Fiber Network),fiber,43.866,-72.378,"1,000",Strafford,VT,US,05072,http://www.ecfiber.net,http://www.muninetworks.org/tags-39,,,,,,
ECFibernet (East Central Vermont Community Fiber Network),fiber,43.7722,-72.813,550,Pittsfield,VT,US,05762,http://www.ecfiber.net,http://www.muninetworks.org/tags-39,,,,,,
ECFibernet (East Central Vermont Community Fiber Network),fiber,43.825,-72.243,"2,600",Thetford,VT,US,05074,http://www.ecfiber.net,http://www.muninetworks.org/tags-39,,,,,,
EPB Fiber Optics,fiber,34.975188,-85.440401,"1,900",Wildwood,GA,US,30757,http://www.epb.net/,http://www.muninetworks.org/tags-135,,Y,,,,
EPB Fiber Optics,fiber,34.941743,-85.343569,"3,500",Flintstone,GA,US,30725,http://www.epb.net/,http://www.muninetworks.org/tags-135,,Y,,,,
EPB Fiber Optics,fiber,34.983131,-85.286068,"4,100",Rossville,GA,US,30741,http://www.epb.net/,http://www.muninetworks.org/tags-135,,Y,,,,
EPB Fiber Optics,fiber,35.02859,-85.320511,171350,Chattanooga,TN,US,37422,http://www.epb.net/,http://www.muninetworks.org/tags-135,,Y,,,,Y
EPB Fiber Optics,fiber,34.996715,-85.243774,19985,East Ridge,TN,US,37412,http://www.epb.net/,http://www.muninetworks.org/tags-135,,Y,,,,Y
EPB Fiber Optics,fiber,34.994305,-85.350394,"1,800",Lookout Mountain,TN,US,37350,http://www.epb.net/,http://www.muninetworks.org/tags-135,,Y,,,,Y
